selectedFuelFlow1,selectedFuelFlow2,altitude,Airspeed,groundAirSpeed,grossWeight,totalAirTemperatureCelsius,angleOfAttackVoted,horizontalStabilizerPosition,latitude,longitude,trackAngleTrue,totalFuelWeight,Month,Day,GMTHours,GMTMinutes,GMTSeconds,mach,fmcMach
18224,11216,-3332,511.5,859,749760,-0.625,33.70602976,-0.0078125,-0.35167421999999,18.63264258,-17.49048768,528667.876,19,45,28,12,63,0.12775,-0.00200000000000067
56992,61488,91327,481.375,1020.5,749760,123.875,34.23337312,-0.0078125,-3.71623757999999,59.10628266,2.54882624,528667.876,19,45,31,62,50,0.87175,-0.368
32672,65488,-6785,456.875,1023.5,749760,-1.125,-3.20813855999998,-0.0078125,-113.6536947,-0.0371902199999993,-45.08812352,528667.876,19,45,18,63,30,1.02075,-0.00399999999999956
65312,11728,15295,175.875,329,749760,-1.75,3.55956768,-0.0078125,-0.0280922399999993,110.0054352,-6.76783935999998,528667.876,19,45,0,32,59,0.9145,3.556
45840,61328,-63617,14.25,159.75,749760,-49.375,2.94433376,-0.0078125,-0.161987759999954,0.0220332000000126,-27.51001152,528667.876,19,45,20,63,62,0.51875,-0.0559999999999992
61504,4016,131043,170.375,796,749760,-3.125,56.73335648,-0.109375,26.74604778,0.0864057000000126,49.83394752,528667.876,19,45,3,63,63,0.86625,-3.202
52336,56304,-14459,276.25,63.75,749760,-16.125,63.89643712,7.7578125,-71.6969007,-9.47170013999995,179.47252352,528667.876,25,45,31,2,62,0.66475,-2.418
26976,53888,-1727,63.875,154.5,749760,-12.25,-1.27454623999998,-7.8203125,-8.32105379999997,-0.120616979999999,-157.67593088,528667.876,8,31,29,27,56,0.84975,2.89
3616,12272,131039,344.875,1016.75,582080,-109.5,-0.0880236799999921,-7.8203125,-18.63292662,-0.171429059999954,-85.16621888,308646.8,8,31,28,63,58,0.25575,-0.00200000000000067
65520,45584,-1012,197.625,1023,582080,-0.125,35.8154032,-7.8203125,-82.46350374,-0.273395819999966,-7.11940159999995,308646.8,8,31,31,56,36,0.65175,-0.00200000000000067
65472,65392,7230,238,1012.75,582080,-13.625,-0.52747647999999,-1.5078125,-90.0044178,-56.71772598,89.91204288,308646.8,8,31,23,62,37,0.83175,-0.00600000000000023
64272,37104,48061,175.875,913.25,1202560,-0.75,36.56247296,-1.5078125,89.05501842,-116.54790678,-127.35368768,184085.77,8,31,0,63,5,0.51175,-0.00200000000000067
54608,18416,107851,447.875,543.75,1202560,-12.125,44.8241856,-1.5078125,0.0343927200000126,-58.90263318,33.3984128,184085.77,8,31,8,31,11,0.05975,2.126
8176,18016,-90162,289.375,895.75,1202560,-12.375,-70.66414336,-1.5078125,-69.55147602,67.53708936,-4.83424703999998,184085.77,8,31,24,53,54,0.99175,-0.0380000000000003
31056,61984,16703,302.125,215.25,463040,108.75,58.75483936,-1.5078125,123.70161228,-88.41569154,-4.04323199999999,902130.504,8,31,19,37,7,0.767,3.022
32720,65408,105384,383.5,1018.5,463040,99.875,-26.05968416,13.8046875,146.3377425,81.03499698,-72.33419712,902130.504,25,30,26,63,63,0.97925,-2.05
33664,16464,126279,127.875,400,463040,-186,3.99902048,13.8046875,-2.72489315999997,-18.86501238,-158.99428928,902130.504,25,30,22,61,51,0.705,2.674
10832,16368,41263,283.875,72.75,463040,99.375,13.8427632,-0.2109375,-3.45222233999995,-0.112548959999999,-33.83813184,902130.504,25,30,19,13,55,0.1145,4.088
8176,35728,-6081,439.875,32.25,463680,82.875,89.95598816,-0.2109375,64.16892186,116.43758796,-1.93385855999998,324299.602,25,30,17,6,25,0.48175,-1.104
20880,15360,-11009,364.625,509,463680,-18.25,14.63377824,5.171875,-28.75648698,-155.4008904,73.03705536,324299.602,25,30,10,27,63,0.05575,0.24
51520,27648,91345,502.125,1005,463680,-235.875,-48.51572224,1.953125,-0.351157799999966,-75.84973398,152.31434048,324299.602,25,30,31,42,53,0.9435,0.914
54144,53232,-224,508,289.75,1156160,-20.625,-4.96594976,1.953125,-0.0890322599999543,41.22053706,-136.49430592,281970.898,25,30,21,27,61,1.02,-0.00399999999999956
54288,20464,-65835,174.5,249.5,599360,-12.125,-0.131968959999995,1.953125,-5.53722197999995,155.07187602,-116.27947712,317906.204,25,30,4,39,63,0.48775,0.342
39840,23552,-91746,506.125,163.75,599360,127.875,-67.54402848,-2.953125,120.65462208,147.4375782,-110.47870016,317906.204,25,30,17,63,24,1.00425,-2.38
17888,16368,95735,343.875,631.75,1123520,-58.625,54.97554528,-2.953125,35.17513788,-61.74465846,-0.703390719999959,818134.482,25,30,26,55,63,0.9815,-0.21
41008,22496,-82882,387.875,167.75,1123520,-92.5,15.24901216,3.6640625,51.90268338,179.98629648,141.0643488,818134.482,25,30,6,3,63,0.86925,-0.968
26896,64704,-3498,183.875,677,1123520,-16.375,0.17578112,3.6640625,-73.61573202,-117.1964433,-1.75807743999997,818134.482,25,30,30,63,18,0.12525,0.46
2000,65488,119035,198.375,960.75,1123520,-192.125,28.52048672,3.6640625,120.17929194,-20.95378854,63.89643712,818134.482,25,30,30,63,4,0.027,1.022
57328,57136,-61288,474.75,408.75,1123520,198.5,-85.03424992,0.1171875,176.50260108,-33.75423726,-1.14284351999999,818134.482,25,30,27,61,60,0.22175,-0.604
32752,59456,-35713,383.875,989,1123520,-47.625,75.89349856,-2.5234375,-1.22096693999998,-5.46117515999999,-116.63103936,818134.482,25,30,31,8,51,1.018,-0.364
15440,23648,-98431,191.875,266.25,982720,-16,58.31538656,-2.5234375,179.9416656,-166.48712724,-142.20719232,266097.634,25,30,16,17,39,0.06375,-0.00200000000000067
12736,65440,-3991,335.875,671.75,982720,-64.125,-9.97571167999999,-2.5234375,-112.85186508,-97.7509827,-123.83806528,266097.634,25,30,12,38,31,1.02375,2.288
58240,3568,6790,13.375,75.75,688320,43.25,9.4482352,-2.5234375,179.92243968,-8.35092407999999,-0.0881567999999788,690046.06,25,30,31,20,7,0.43425,-0.0120000000000005
64880,62128,83848,365.625,371.25,688320,213.125,-0.131968959999995,9.9921875,11.0699277,-3.25206533999998,-0.263937919999989,690046.06,25,30,31,60,63,1.02375,-1.802
16368,30784,130287,415.125,401,316480,-147.25,-77.56355232,9.9921875,-14.4567483,-89.91446796,14.85350464,530431.572,25,30,31,0,63,0.95425,-1.812
32752,65360,-94292,95.875,1012.5,316480,-0.125,55.85445088,9.9921875,-44.95102386,-105.50733078,113.11515072,530431.572,25,30,2,34,9,0.45475,3.176
62176,41312,-146,63.875,671.25,316480,-250.625,-45.04404512,9.9921875,7.36822194,-15.0903504,-0.0881567999999788,530431.572,25,30,31,8,63,0.05125,-2.05
18848,40944,-86090,482.75,247.75,316480,-120.875,-0.0440783999999894,9.9921875,-58.26061902,-5.20213877999996,-0.967062399999975,530431.572,25,30,2,63,42,0.35175,2.366
27440,62512,130815,290.125,246.25,316480,-70.25,-8.74524384,-1.1875,166.4156043,-167.94539118,145.19520512,530431.572,25,30,19,58,49,0.9665,-3.18
57104,6128,115917,238.5,1014,316480,-107.625,-0.263804799999974,4.7421875,89.93632878,-8.47778081999999,81.38665856,530431.572,25,36,16,31,42,0.89925,-0.00200000000000067
59072,61232,-119924,30.25,403,818880,-166.875,-14.80969248,4.7421875,-82.8133497,-160.11831774,55.45894336,572760.276,25,36,31,55,14,0.99725,3.568
39632,38144,-85441,67.5,688.25,818880,59.75,-3.29602911999999,12.328125,-0.176750519999954,-26.67766638,-73.0373216,572760.276,1,13,20,9,53,1.0215,-0.0120000000000005
63616,57648,-100358,470.625,193,818880,192.375,-0.307750079999977,-12.0078125,22.58772138,-77.51965614,-166.2013152,572760.276,1,13,31,17,63,0.671,3.984
36848,38224,128911,145.5,491.75,211200,59.125,-83.05671232,-12.0078125,-134.95618902,-18.1545065999999,14.9413952,902571.428,1,13,22,22,57,0.57725,-0.00200000000000067
26512,62768,109630,255.125,562,491200,-88.875,-41.44053216,-12.0078125,-71.28216726,-34.2802071,-78.57442688,870163.514,1,13,11,28,33,0.94375,-3.93
46608,5616,127295,20.375,196.25,491200,-201.375,-0.439585919999985,11.9921875,-37.17785238,172.09519458,51.76753984,870163.514,1,13,14,56,51,0.94525,-2.004
35696,6688,-4378,484,208.25,491200,167.125,-56.42587264,11.9921875,-7.77019253999995,124.09866474,150.82020096,870163.514,1,13,9,50,63,0.283,-3.182
21056,45088,127245,467.625,759.25,491200,-108.125,76.28900608,15.9921875,-0.134693819999954,45.08772522,-139.13102272,870163.514,6,27,7,13,17,0.9065,1.918
25840,34640,-179,504,410.75,491200,-232,-29.17979904,15.9921875,-143.88035088,-17.332248,-36.5627392,870163.514,6,27,8,63,0,1.02375,-1.548
45808,47600,-43,112.5,736.5,491200,-6,-35.50791936,-6.9921875,-97.20836112,176.65984164,-45.17601408,870163.514,6,27,1,5,60,0.1945,-2.26
46976,21440,-73854,373.875,1013,491200,-247.25,-77.03620896,-6.9921875,-0.0201951599999874,-59.00116602,178.76939904,870163.514,6,27,15,63,58,0.63975,-0.432
63968,59952,-64957,140.375,944.75,491200,-0.25,-36.60655136,2.9921875,42.3608838,28.21237902,157.41199296,870163.514,18,35,30,58,45,1.02375,-0.882
29680,46032,-18540,447.75,939.75,655040,-0.625,-65.87410784,2.9921875,157.97879022,-2.60318478,-1.05495295999998,802922.604,18,35,6,31,31,0.89575,-0.614
56816,65296,-26459,255.875,511.25,655040,-0.375,2.6367168,2.9921875,-104.32681632,-136.89785112,-2.81276415999997,802922.604,18,35,21,60,58,0.77175,-1.532
60448,22512,-15368,383.875,130.75,655040,127.5,-45.04404512,2.9921875,126.47102466,-15.18802494,-75.84981952,802922.604,18,35,31,62,31,0.07425,3.326
64848,51248,29626,79.875,1023.25,655040,-1.625,79.27728512,2.9921875,31.17903162,-90.1105044,47.72457408,802922.604,18,35,23,46,63,0.44625,-0.00799999999999912
27344,21856,98197,510.625,580,655040,191.625,-54.27255392,2.9921875,-168.40613022,-166.8055587,174.99010496,802922.604,18,35,23,59,24,0.49575,-2.172
40096,65520,-8769,511.75,819.75,655040,7.875,-51.0206032,2.9921875,165.49738704,77.07957486,-0.791281279999964,802922.604,18,35,9,53,37,1.02125,1.612
43856,21888,72439,169.125,873.5,596160,65,-35.6397552,2.9921875,0.57025884,-143.39094318,-133.59391744,499566.892,18,35,31,62,54,0.84325,-0.00399999999999956
48688,47088,-58439,475.5,105.75,596160,-52,-1.27454623999998,-3.9296875,-0.0370185599999993,16.8636726,-18.72095552,499566.892,18,35,15,44,51,0.04775,4.094
8736,23856,-6530,255.875,991.75,596160,-0.375,13.13963872,9.953125,100.0715613,0.0824575200000126,69.8729952,499566.892,18,35,10,55,60,0.75075,0.59
40432,65504,3437,468.375,1023.5,1072960,-29.625,-0.966929279999988,9.953125,89.29551552,83.13441606,61.0839392,834889.594,18,35,21,36,54,0.31925,-1.362
43616,65488,98189,511.5,303.75,1072960,-128.125,59.01851104,9.953125,133.18676334,-53.71622712,-0.0881567999999788,834889.594,18,35,17,24,63,0.07175,-0.278
53136,33776,74579,347.5,1000.75,1072960,-252.875,-61.96297792,9.953125,-82.27038552,94.13070306,-0.176047359999984,834889.594,18,35,31,49,30,0.58075,-2.18
2704,40944,-114791,511.75,17.75,1072960,-30.5,89.95598816,-11.078125,-166.4649831,-117.34922214,-159.1700704,834889.594,23,15,6,28,37,0.014,-2.264
41376,12272,-22514,425.875,374.75,1072960,-1.25,-34.93663072,-11.078125,-2.34620759999997,21.8698335,-69.34591808,834889.594,23,15,7,13,63,1.02075,-0.852
9168,15280,-75323,501.5,1010,16000,-160.125,15.380848,-11.078125,151.93218798,18.3250257,127.96865536,82673.25,23,15,21,29,20,0.6885,-1.316
59760,62208,92604,100.375,645,16000,129.75,-35.46397408,-3.0078125,-71.31684258,111.88461162,-103.53534592,82673.25,23,15,15,7,7,0.38925,2.878
62240,7408,-122881,214.875,595.75,16000,62.5,42.846648,-0.09375,69.93416976,-20.5064397,168.66198464,82673.25,19,25,15,62,41,0.4045,4.07
33776,65072,-25713,27.875,683.75,16000,154.875,-57.70028576,-0.09375,-118.3009131,-42.53918142,78.48627008,82673.25,19,25,5,7,63,0.34125,-0.0660000000000007
24304,61520,108474,207.875,933.25,16000,-209.125,31.59665632,-11.34375,179.93136528,68.14253994,-103.00800256,82673.25,22,13,14,1,53,0.95875,3.902
16992,26512,-641,503.875,910.5,16000,-55.875,56.20601312,-5.3359375,-0.291763439999966,90.53542722,-20.3029856,82673.25,22,13,23,19,6,0.7975,-2.764
62432,15088,96191,505.875,637.75,16000,124.75,-10.10754752,11.1484375,-22.9618845,-5.4649524,51.59175872,82673.25,25,42,26,6,31,0.90475,-4.026
17904,18128,-98416,494.75,146.5,16000,71.875,-12.17297568,0.109375,155.84091858,-0.35579405999999,143.34950336,82673.25,24,10,31,63,17,0.47975,4.092
59280,19952,-75,255.625,1023,1309440,140.5,-22.2364448,0.109375,-8.68497587999996,-1.07471117999996,-144.2286752,902791.89,24,10,11,63,12,0.45675,4.094
45040,65520,106367,447.875,996,1301120,238.875,-0.263804799999974,0.109375,-0.443169720000002,64.77505692,179.82408576,257058.692,24,10,27,9,54,0.96975,-0.0440000000000005
19008,24560,-112,111.875,1000.5,923840,-100,-0.0880236799999921,0.109375,-89.91961776,-132.80304036,-0.176047359999984,246476.516,24,10,24,45,57,0.76775,2.174
36848,57232,-98957,511.75,566.5,307200,-12,-67.54402848,0.109375,21.6044457,100.3757457,161.54284928,899705.422,24,10,23,47,60,0.97525,2.17
63744,58160,-124929,511.75,845,1063680,243,-13.93078688,0.109375,-2.71991429999996,12.47343138,179.91197632,691368.832,24,10,17,17,31,0.3555,-0.93
49136,62352,-33813,173.875,103.75,1063680,-1,89.95598816,0.109375,-0.303608699999978,114.08187834,-0.176047359999984,691368.832,24,10,19,13,31,0.28375,-3.842
24560,14592,-68546,511.625,773.75,1063680,-231.25,-76.42097504,0.109375,49.47127098,-2.71236125999996,-0.263937919999989,691368.832,24,10,5,31,59,0.3875,3.07
63744,49136,112965,365.875,157.25,10560,-0.125,-1.31849151999998,0.109375,160.75180818,129.19717944,-0.967062399999975,902791.89,24,10,30,15,31,0.51175,2.302
62144,52288,-2459,471.5,703.5,10560,-0.125,45.57125536,0.109375,-112.58956644,-83.99626884,-117.77361664,902791.89,24,10,31,46,8,0.12325,-1.688
24560,15232,100946,411.375,11,10560,255.875,-45.5274432,0.109375,16.56360876,105.00030354,-14.23853696,902791.89,24,10,26,26,31,0.09325,-0.0500000000000007
57424,12272,24562,365.75,853.75,10560,-153.375,89.95598816,-3.8125,-103.02321948,179.92982106,-22.58814016,902791.89,24,10,3,63,45,0.013,-1.356
53744,61424,-26289,510.875,618,327040,165.75,-31.94835168,-3.8125,-167.63039292,27.53157114,-34.27758464,423066.578,24,10,24,63,24,0.2175,0.958
4064,62816,-104764,23.875,254,327040,9.375,-0.175914239999997,1.203125,-2.14810979999999,0.0852040800000126,168.04675072,423066.578,24,10,26,20,63,0.76775,-0.112
11056,65472,-35779,479.25,138.5,327040,-240.125,73.08100064,1.203125,-103.8367227,137.3069805,-90.35176192,423066.578,24,10,2,55,63,0.68975,2.366
42992,53712,40023,205.125,1001,327040,-200.125,89.07708256,-0.21875,73.2115284,-5.64021869999996,67.41205952,423066.578,24,10,31,10,60,0.12775,-2.976
64256,16368,-822,255.875,1020,327040,-0.125,-5.58118367999998,-0.125,5.62482858,-22.39025094,-152.31460672,423066.578,24,10,17,22,18,0.37875,-0.9
27552,61536,112329,383.875,44.75,327040,-0.125,-2.81263103999999,-0.125,-123.71888994,-100.02738468,-0.263937919999989,423066.578,24,10,7,56,55,0.39175,2.982
6432,57328,-755,510.875,511.75,327040,213.875,-22.98351456,3.734375,126.5414067,-0.828205979999993,-93.60371264,423066.578,12,11,21,55,13,1.02,-0.0239999999999991
4080,65520,-20551,255.875,996.25,327040,-194.875,30.67380544,8.5546875,-162.7746069,53.68470024,-157.50014976,423066.578,17,45,11,62,60,0.05725,-0.23
64768,26896,42301,255.875,255.75,1115840,-64.125,-9.05286079999999,8.5546875,-0.791985719999993,30.88789482,164.17956608,542997.906,17,45,15,7,39,1.02375,-0.0640000000000001
62848,9328,20798,319.75,568,1115840,-26.875,53.3935152,8.5546875,-158.02765404,-16.0568034,-6.24049599999995,542997.906,17,45,30,7,21,0.474,2.65
41616,55920,-28865,508.875,895.75,1115840,121.875,68.51069152,8.5546875,-157.9397634,-108.93472314,-118.21306944,542997.906,17,45,20,63,60,0.32675,-0.0280000000000005
54240,6384,65460,343.875,842,1115840,-46.875,-62.13875904,-6.5625,151.68654036,45.08772522,-86.92403008,542997.906,17,45,30,30,49,0.25575,3.566
53024,34432,85889,394.25,809,1115840,-15.625,-10.98645312,-6.5625,-0.0902338799999544,179.95574172,12.12889728,542997.906,17,45,31,6,21,1.00825,-0.924
18032,65184,-24683,52.75,844.25,1115840,255.875,-35.2003024,-12.125,-19.95574938,57.0987024,-118.21306944,542997.906,2,14,31,6,63,0.83475,0.732
3440,55280,96179,511,199.75,1115840,-128.5,-14.106568,-12.125,98.98666074,-0.906311999999948,-178.76966528,542997.906,2,14,22,21,31,0.5245,2.558
65520,54400,72655,339.875,932.5,300800,81.375,-42.62705472,-12.125,11.79794424,49.19661354,125.33193856,278443.506,2,14,31,60,32,0.678,0.526
22240,96,-90435,413.125,518.5,300800,243.875,47.19723072,-12.125,-135.00116394,-66.45419016,-133.06657408,278443.506,2,14,30,62,9,0.34825,3.864
64496,15344,-119278,392.375,383.75,300800,-6.125,4.8339808,12.59375,-141.54455382,134.91693888,164.44323776,278443.506,2,14,27,63,9,0.78,1.482
53232,32624,20223,511.875,1023.75,300800,-224.125,-45.26377152,12.59375,-122.2257783,0.0592834200000126,-7.55885439999997,278443.506,2,14,20,63,20,0.80675,-1.596
12272,55248,-117790,191.875,675.5,1247040,-128.125,64.46772576,12.59375,-54.00478902,-67.98798378,-71.80685376,493614.418,2,14,31,56,15,0.8365,2.304
7120,54608,52782,383.75,858.75,1247040,237.5,-4.35071583999999,12.59375,-157.5804747,-61.38897678,49.13082304,493614.418,2,14,25,51,51,0.511,-1.804
46480,64736,-57922,444.375,759.5,784960,-226.875,79.40912096,12.59375,161.07041202,101.33773482,130.5174816,902130.504,2,14,31,63,27,0.511,-0.342
26880,45040,108964,127.875,916.75,1004800,-128.125,-40.29795488,12.59375,134.94852432,33.63962694,-0.703390719999959,412043.478,2,14,9,37,7,0.01425,1.084
65504,64112,44255,95.875,383.75,982720,-0.125,-36.16709856,12.59375,97.56942426,179.98646886,-0.0881567999999788,352518.738,2,14,20,63,41,1.01575,-1.282
33776,2000,-25489,509.25,997.25,982720,66.75,8.65722016,12.59375,-2.54894022,-0.894982439999948,-4.04323199999999,352518.738,2,14,20,63,53,0.45475,-1.708
22512,52960,-118125,56.875,923.75,781120,81.875,67.28022368,12.59375,-1.12329095999996,90.0388098,179.91197632,870383.976,2,14,28,48,62,0.943,-0.238
43600,40944,-65626,285.375,960.75,417920,-232.125,-70.26863584,12.59375,135.08276244,-67.58801382,81.47454912,898382.65,2,14,26,53,63,0.507,-0.714
63712,51056,65439,483.875,1023.5,417920,52.875,-0.0440783999999894,12.59375,88.5585741,-0.43046615999999,-32.34399232,898382.65,2,14,20,25,63,1.0225,3.942
4080,16336,-19292,489.25,204.25,417920,-12.625,-18.76476768,9.625,-53.83827738,-73.89004614,-8.52565055999997,898382.65,2,14,7,63,60,0.51175,-1.012
49136,65424,-51177,194.25,299.75,417920,224,-59.5899328,11.1328125,47.54557326,-179.1747939,15.380848,898382.65,2,14,21,63,55,0.34925,-0.0220000000000002
61824,9968,-94,439.25,719.75,417920,-153.625,89.95598816,11.1328125,-178.37811336,111.34610988,2.197264,898382.65,2,14,31,36,50,0.76775,-0.124000000000001
28400,23376,-15674,127.875,821.25,417920,173.625,69.213816,11.1328125,171.55823706,-5.36075261999996,111.00577728,898382.65,2,14,31,63,57,0.82275,-2.066
50352,62768,63295,504.5,1001.25,417920,-132.125,-11.909304,11.1328125,-172.32824958,-0.627018299999957,-0.703390719999959,898382.65,2,14,31,2,15,0.856,-3.054
45808,54672,-4033,465.875,109.25,417920,6.375,-26.76280864,-10.3515625,-20.73732384,-162.57582246,-142.82242624,898382.65,2,14,15,63,63,0.1675,-0.00399999999999956
64832,61648,64648,95.875,622,417920,-0.125,-6.24036287999999,-0.96875,-0.36815357999999,85.7079651,-49.92210432,898382.65,2,14,28,17,58,0.07975,-4.078
23504,12224,30477,511.625,835.75,417920,-0.125,56.20601312,-0.96875,-0.0988161599999993,-123.66224214,66.09370112,898382.65,2,14,5,63,48,0.9755,-0.372
43456,32752,103743,191.875,925.75,1293120,-77.75,-5.97669119999998,-0.96875,177.49806462,89.98714014,-0.791281279999964,121033.638,2,14,19,63,60,0.22375,3.272
65072,62304,57248,127.75,439.75,1293120,-48.5,-2.41712351999999,3.484375,-9.91681883999997,143.16646974,-27.68579264,121033.638,2,14,8,31,63,1.005,3.646
38512,49120,-38734,383.875,767.5,204480,-10.875,-48.20810528,3.484375,-37.39483206,179.86870938,-2.90065471999998,431885.058,2,14,22,39,29,0.62375,-0.00200000000000067
14960,35840,131056,15,639.75,204480,-124.875,33.26657696,-0.46875,84.36488574,89.93186562,-24.6975136,431885.058,2,14,29,55,62,0.77425,2.252
19536,26112,115167,485,1022.5,204480,-250.125,66.53315392,-1.234375,-19.39956666,-146.4302094,151.08387264,431885.058,25,14,15,25,56,1.02375,0.09
65520,12624,130962,79.875,1023.75,204480,-8,-22.54406176,-11.0078125,50.71272618,31.12959354,-0.0881567999999788,431885.058,25,14,31,62,26,0.84075,-0.972
65424,7472,-1047,50.75,511.75,204480,-1.625,-0.0880236799999921,15.7421875,133.96696452,-137.2248663,-167.5196736,431885.058,25,14,2,27,36,0.852,-0.0139999999999993
39280,37840,43071,510.625,998.5,774080,255.75,37.70505024,15.7421875,-56.15192958,128.01941082,-11.0744768,356046.13,25,14,21,60,3,1.01825,4.094
53616,56000,-9773,255.875,935.75,1304640,-3.125,-0.131968959999995,15.7421875,112.54379178,-176.66029806,-118.65252224,827173.424,25,14,18,63,51,1.02375,0.006
